,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig
ticker,600000,600009,600016,600028,600030,600031,600036,600048,600050,600104,600196,600276,600309,600340,600519,600547,600570,600585,600690,600703,600745,600837,600887,600918,601012,601066,601088,601111,601138,601166,601186,601211,601236,601288,601318,601319,601328,601336,601390,601398,601601,601628,601658,601668,601688,601766,601816,601818,601857,601888,601939,601988,601989,603160,603259,603501,603986,603993
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-30,,,,,,,,1.0,,-1.0,,-1.0,,,-1.0,,,,,,,,1.0,,,,,,,-1.0,,,,,-1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,
2012-12-28,1.0,,1.0,,,,,1.0,,-1.0,1.0,-1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,1.0,,,,,,,,-1.0,,,,,,
2013-01-31,,,,-1.0,,,,,,-1.0,1.0,,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,1.0,-1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0
2013-02-28,,,-1.0,,,,,-1.0,,,,,-1.0,,-1.0,-1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,
2013-03-29,,-1.0,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,-1.0,,,1.0,,,,,,,-1.0,,,,,,,-1.0,1.0,-1.0,,,,,,,,,,,,
2013-04-26,,-1.0,,,,,,,,1.0,-1.0,1.0,,,1.0,,,1.0,,,,,-1.0,,,,,,,,,,,,-1.0,,,1.0,,,,,,,,-1.0,,,,,,,,,,,,
2013-05-31,,,,,,,,,-1.0,-1.0,,,,,1.0,,,,-1.0,-1.0,,,,,,,,-1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,
2013-06-28,-1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,-1.0,,,,,,,,,,-1.0,1.0,,,,1.0,,-1.0,,,,,,,-1.0,,,,,,,
2013-07-31,,1.0,,,,,,,,,-1.0,1.0,,,,,,,,,,1.0,,,-1.0,,,,,,,,,,,,,,1.0,,,-1.0,,-1.0,,1.0,,,,,,,-1.0,,,,,
2013-08-30,,,1.0,-1.0,,,,,,1.0,,,1.0,,,-1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,-1.0,,,-1.0,-1.0,,,,,,,,,,,,,,,,
2013-09-30,-1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,-1.0,,,1.0,,-1.0,,,,-1.0,,,,-1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
2013-10-31,,,-1.0,,-1.0,,,,,1.0,,,,,,-1.0,,-1.0,,,,-1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
2013-11-29,,,,,1.0,,,,,,-1.0,,,,1.0,,,,,,,-1.0,,,,,,-1.0,,,,,,,,,,,,,,-1.0,,,1.0,1.0,,,-1.0,,1.0,,,,,,,
2013-12-30,,1.0,1.0,,,-1.0,,1.0,,,,,-1.0,,,,,,,,,-1.0,,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,-1.0
2014-01-30,-1.0,,,,,,,,,-1.0,,,,,,,,-1.0,,-1.0,,,,,-1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0
2014-02-28,-1.0,1.0,,-1.0,-1.0,1.0,-1.0,1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
2014-03-31,,,,1.0,,-1.0,,1.0,,,1.0,-1.0,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,1.0,,,,,,,
2014-04-30,,1.0,,-1.0,,,,-1.0,,,1.0,,,,,-1.0,,,,,,,1.0,,,,,,,-1.0,-1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
2014-05-30,,,,-1.0,-1.0,,,,,,,1.0,1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,-1.0,,1.0,,,1.0,-1.0,,,,,,,,,,,,,1.0
2014-06-30,,,,-1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,-1.0,,1.0,-1.0,,,,,-1.0,,-1.0,,,,,,,,,,
2014-07-31,,,-1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,-1.0,,,,,,,,1.0,,,-1.0,,,1.0,1.0,,,-1.0,,,-1.0,,,,,,,,,,
2014-08-29,1.0,1.0,,-1.0,,,1.0,,,,-1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,1.0,,,,,-1.0,,,,,,,
2014-09-30,1.0,,1.0,1.0,,,,,,,,-1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,-1.0,,,,-1.0,,,,-1.0,,,,,,,,,,-1.0,,,,,,
2014-10-31,,,,,,,,1.0,,,,,,-1.0,-1.0,1.0,,,,,,,,,-1.0,,,1.0,,1.0,,,,,,,,,,,-1.0,,,,,,,1.0,,,-1.0,,,,,,,
2014-11-28,1.0,,,-1.0,,,1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,-1.0,,,-1.0,-1.0,,1.0,,,,,,,
2014-12-30,,,-1.0,1.0,-1.0,,,-1.0,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,
2015-01-30,,,,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,-1.0,,,,1.0,,,,,-1.0,1.0,,,-1.0,1.0,,,,,,,,,
2015-02-27,,,,,,-1.0,-1.0,,,,,,,,,,,,1.0,,,-1.0,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,-1.0,,,,,,,,,-1.0
2015-03-31,,,,,,,,-1.0,,,,,,1.0,,1.0,,,,,,,-1.0,,,,,,,1.0,1.0,,,,,,-1.0,,,,,,,,1.0,,,,-1.0,,-1.0,,,,,,,
2015-04-30,,,,1.0,,,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,-1.0,,,,1.0,-1.0,,-1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,
