,Bloomberg Code,symbol,level
186,5469 TT Equity,>,46.95
187,5469 TT Equity,>,45.4
188,3540 TT Equity,>,86.5
189,3540 TT Equity,>,86.5
190,8086 TT Equity,>,172.5
191,8086 TT Equity,>,170.5
192,2395 TT Equity,>,376.5
193,2395 TT Equity,>,369.0
194,3260 TT Equity,>,91.4
195,3260 TT Equity,>,89.4
196,6669 TT Equity,>,850.0
197,6669 TT Equity,>,848.0
198,005930 KS Equity,>,85300.0
199,005930 KS Equity,>,85200.0
200,048410 KS Equity,>,66300.0
201,048410 KS Equity,>,44950.0
202,000660 KS Equity,>,148500.0
203,000660 KS Equity,>,145000.0
204,000270 KS Equity,>,83200.0
205,000270 KS Equity,>,76900.0
206,035720 KS Equity,>,494500.0
207,035720 KS Equity,>,480000.0
208,323990 KS Equity,>,149900.0
209,323990 KS Equity,>,149900.0
210,005380 KS Equity,>,248500.0
211,005380 KS Equity,>,241000.0
212,003000 KS Equity,>,26300.0
213,003000 KS Equity,>,21500.0
214,051910 KS Equity,>,895000.0
215,051910 KS Equity,>,889000.0
216,338220 KS Equity,>,37600.0
217,338220 KS Equity,>,35050.0
218,256840 KS Equity,>,9600.0
219,256840 KS Equity,>,7710.0
220,035420 KS Equity,>,393000.0
221,035420 KS Equity,>,382000.0
222,006400 KS Equity,>,719000.0
223,006400 KS Equity,>,704000.0
224,066570 KS Equity,>,159000.0
225,066570 KS Equity,>,154500.0
226,011200 KS Equity,>,19000.0
227,011200 KS Equity,>,18000.0
228,096770 KS Equity,>,288500.0
229,096770 KS Equity,>,275000.0
230,068270 KS Equity,>,306000.0
231,068270 KS Equity,>,296000.0
232,139670 KS Equity,>,59900.0
233,139670 KS Equity,>,42900.0
234,028300 KS Equity,>,75400.0
235,028300 KS Equity,>,63200.0
236,012330 KS Equity,>,328000.0
237,012330 KS Equity,>,310000.0
238,326030 KS Equity,>,147500.0
239,326030 KS Equity,>,126500.0
240,011170 KS Equity,>,331000.0
241,011170 KS Equity,>,322000.0
242,091990 KS Equity,>,131100.0
243,091990 KS Equity,>,127200.0
244,004140 KS Equity,>,10700.0
245,004140 KS Equity,>,9390.0
246,005490 KS Equity,>,285500.0
247,005490 KS Equity,>,280500.0
248,068290 KS Equity,>,37450.0
249,068290 KS Equity,>,33450.0
250,019170 KS Equity,>,87100.0
251,019170 KS Equity,>,83400.0
252,006280 KS Equity,>,405000.0
253,006280 KS Equity,>,387500.0
254,034730 KS Equity,>,278000.0
255,034730 KS Equity,>,277500.0
256,017670 KS Equity,>,251500.0
257,017670 KS Equity,>,249500.0
258,055550 KS Equity,>,34100.0
259,055550 KS Equity,>,33650.0
260,011780 KS Equity,>,239000.0
261,011780 KS Equity,>,224500.0
262,036570 KS Equity,>,972000.0
263,036570 KS Equity,>,963000.0
264,096040 KS Equity,>,890.0
265,096040 KS Equity,>,861.0
266,009150 KS Equity,>,198500.0
267,009150 KS Equity,>,196000.0
268,034220 KS Equity,>,25050.0
269,034220 KS Equity,>,23900.0
270,096530 KS Equity,>,140000.0
271,096530 KS Equity,>,127800.0
272,105560 KS Equity,>,45000.0
273,105560 KS Equity,>,44950.0
274,304840 KS Equity,>,59900.0
275,304840 KS Equity,>,57900.0
276,009830 KS Equity,>,48250.0
277,009830 KS Equity,>,48250.0
278,028260 KS Equity,>,125500.0
279,028260 KS Equity,>,125500.0
280,086900 KS Equity,>,209500.0
281,086900 KS Equity,>,188500.0
282,003670 KS Equity,>,172500.0
283,003670 KS Equity,>,160500.0
284,032300 KS Equity,>,62700.0
285,032300 KS Equity,>,54800.0
286,086790 KS Equity,>,38000.0
287,086790 KS Equity,>,37050.0
288,207940 KS Equity,>,777000.0
289,207940 KS Equity,>,764000.0
290,015760 KS Equity,>,23700.0
291,015760 KS Equity,>,23350.0
292,121800 KS Equity,>,13000.0
293,121800 KS Equity,>,13000.0
294,375500 KS Equity,>,112500.0
295,375500 KS Equity,>,112500.0
296,051900 KS Equity,>,1595000.0
297,051900 KS Equity,>,1573000.0
298,071050 KS Equity,>,95900.0
299,071050 KS Equity,>,94500.0
300,011070 KS Equity,>,228000.0
301,011070 KS Equity,>,210000.0
302,010060 KS Equity,>,124500.0
303,010060 KS Equity,>,124000.0
304,086280 KS Equity,>,209500.0
305,086280 KS Equity,>,195000.0
306,003550 KS Equity,>,97300.0
307,003550 KS Equity,>,96300.0
308,120110 KS Equity,>,55600.0
309,120110 KS Equity,>,52500.0
310,336260 KS Equity,>,56200.0
311,336260 KS Equity,>,53700.0
312,068760 KS Equity,>,159800.0
313,068760 KS Equity,>,155900.0
314,067630 KS Equity,>,19350.0
315,067630 KS Equity,>,15900.0
316,033780 KS Equity,>,79800.0
317,033780 KS Equity,>,79300.0
318,088350 KS Equity,>,3435.0
319,088350 KS Equity,>,3255.0
320,028670 KS Equity,>,5870.0
321,028670 KS Equity,>,5580.0
322,003490 KS Equity,>,29200.0
323,003490 KS Equity,>,28800.0
324,285130 KS Equity,>,390500.0
325,285130 KS Equity,>,386500.0
326,005250 KS Equity,>,40800.0
327,005250 KS Equity,>,36950.0
328,047810 KS Equity,>,36450.0
329,047810 KS Equity,>,35250.0
330,009520 KS Equity,>,7950.0
331,009520 KS Equity,>,7950.0
332,047920 KS Equity,>,17200.0
333,047920 KS Equity,>,15350.0
334,064260 KS Equity,>,9030.0
335,064260 KS Equity,>,7720.0
336,011210 KS Equity,>,83300.0
337,011210 KS Equity,>,79200.0
338,027360 KS Equity,>,4470.0
339,027360 KS Equity,>,4040.0
340,036540 KS Equity,>,9130.0
341,036540 KS Equity,>,8830.0
342,032640 KS Equity,>,12400.0
343,032640 KS Equity,>,12400.0
344,006620 KS Equity,>,47500.0
345,006620 KS Equity,>,38400.0
346,204320 KS Equity,>,68000.0
347,204320 KS Equity,>,64500.0
348,018260 KS Equity,>,204500.0
349,018260 KS Equity,>,201000.0
350,090430 KS Equity,>,245000.0
351,090430 KS Equity,>,238500.0
352,010950 KS Equity,>,91500.0
353,010950 KS Equity,>,88400.0
354,011790 KS Equity,>,130000.0
355,011790 KS Equity,>,120500.0
356,020150 KS Equity,>,77900.0
357,020150 KS Equity,>,73800.0
358,293490 KS Equity,>,55200.0
359,293490 KS Equity,>,54100.0
360,009540 KS Equity,>,114000.0
361,009540 KS Equity,>,111500.0
362,352820 KS Equity,>,239500.0
363,352820 KS Equity,>,230500.0
364,000990 KS Equity,>,59600.0
365,000990 KS Equity,>,57300.0
