,Bloomberg Code,symbol,level
180,8411 JT Equity,>,1599.0
181,7267 JT Equity,>,3268.0
182,6857 JT Equity,>,8590.0
183,9432 JT Equity,>,2831.5
184,6752 JT Equity,>,1350.0
185,5020 JT Equity,>,507.3
186,9434 JT Equity,>,1437.0
187,3436 JT Equity,>,2447.0
188,4063 JT Equity,>,17665.0
189,8031 JT Equity,>,2322.0
190,9501 JT Equity,>,394.0
191,1605 JT Equity,>,834.0
192,6273 JT Equity,>,61040.0
193,4503 JT Equity,>,1867.5
194,6762 JT Equity,>,15160.0
195,8591 JT Equity,>,1868.5
196,9020 JT Equity,>,8347.0
197,7752 JT Equity,>,1198.0
198,4452 JT Equity,>,7306.0
199,9022 JT Equity,>,17710.0
200,4568 JT Equity,>,3230.0
201,5401 JT Equity,>,1790.0
202,9021 JT Equity,>,6749.0
203,4689 JT Equity,>,616.4
204,7741 JT Equity,>,11920.0
205,8766 JT Equity,>,5702.0
206,8308 JT Equity,>,456.9
207,6963 JT Equity,>,10570.0
208,4519 JT Equity,>,4536.0
209,9201 JT Equity,>,2525.0
210,6976 JT Equity,>,5340.0
211,8113 JT Equity,>,4558.0
212,6723 JT Equity,>,1152.0
213,2502 JT Equity,>,4907.0
214,6178 JT Equity,>,982.0
215,6301 JT Equity,>,3370.0
216,9202 JT Equity,>,2621.5
217,5108 JT Equity,>,4474.0
218,6971 JT Equity,>,7428.0
219,7733 JT Equity,>,2454.5
220,7201 JT Equity,>,605.9
221,3659 JT Equity,>,3415.0
222,8750 JT Equity,>,1936.5
223,9843 JT Equity,>,19600.0
224,6701 JT Equity,>,6320.0
225,6506 JT Equity,>,5330.0
226,7751 JT Equity,>,2394.5
227,4188 JT Equity,>,814.8
228,7269 JT Equity,>,4815.0
229,4005 JT Equity,>,564.0
230,4751 JT Equity,>,6580.0
231,5713 JT Equity,>,4655.0
232,8801 JT Equity,>,2593.5
233,4661 JT Equity,>,17435.0
234,4911 JT Equity,>,8160.0
235,5411 JT Equity,>,1277.0
236,6502 JT Equity,>,3780.0
237,6326 JT Equity,>,2492.5
238,8267 JT Equity,>,3144.0
239,6146 JT Equity,>,33450.0
240,6770 JT Equity,>,1590.0
241,2503 JT Equity,>,2163.0
242,8002 JT Equity,>,864.9
243,8630 JT Equity,>,4194.0
244,7270 JT Equity,>,2164.5
245,3382 JT Equity,>,4429.0
246,700 HK Equity,>,689.0
247,3690 HK Equity,>,342.6
248,9988 HK Equity,>,230.0
249,1810 HK Equity,>,22.8
250,941 HK Equity,>,56.2
251,388 HK Equity,>,482.6
252,1211 HK Equity,>,193.5
253,2318 HK Equity,>,99.35
254,2269 HK Equity,>,91.35
255,3800 HK Equity,>,2.98
256,1024 HK Equity,>,291.8
257,9618 HK Equity,>,348.2
258,1398 HK Equity,>,5.66
259,728 HK Equity,>,2.89
260,939 HK Equity,>,6.55
261,6601 HK Equity,>,8.23
262,2382 HK Equity,>,192.8
263,6618 HK Equity,>,123.0
264,5 HK Equity,>,48.3
265,883 HK Equity,>,9.39
266,981 HK Equity,>,25.95
267,175 HK Equity,>,25.05
268,6969 HK Equity,>,63.95
269,2013 HK Equity,>,20.3
270,3968 HK Equity,>,61.6
271,241 HK Equity,>,23.95
272,968 HK Equity,>,13.78
273,2899 HK Equity,>,10.62
274,2020 HK Equity,>,122.7
275,9999 HK Equity,>,169.5
276,1772 HK Equity,>,100.5
277,992 HK Equity,>,10.06
278,493 HK Equity,>,1.72
279,6862 HK Equity,>,61.2
280,9633 HK Equity,>,43.1
281,3888 HK Equity,>,53.3
282,2333 HK Equity,>,22.6
283,1 HK Equity,>,63.8
284,6098 HK Equity,>,59.3
285,1833 HK Equity,>,104.5
286,916 HK Equity,>,9.2
287,1801 HK Equity,>,77.8
288,2628 HK Equity,>,16.8
289,9992 HK Equity,>,67.85
290,2313 HK Equity,>,161.2
291,27 HK Equity,>,74.3
292,762 HK Equity,>,5.32
293,136 HK Equity,>,9.82
294,1928 HK Equity,>,38.5
295,2331 HK Equity,>,44.95
296,3323 HK Equity,>,10.88
297,2601 HK Equity,>,37.3
298,1658 HK Equity,>,6.24
299,386 HK Equity,>,4.44
300,1288 HK Equity,>,3.24
301,1579 HK Equity,>,104.9
302,2319 HK Equity,>,41.35
303,8083 HK Equity,>,2.85
304,6690 HK Equity,>,30.5
305,2359 HK Equity,>,156.9
306,857 HK Equity,>,3.1
307,291 HK Equity,>,58.35
308,669 HK Equity,>,122.9
309,6030 HK Equity,>,16.1
310,1088 HK Equity,>,14.82
311,1347 HK Equity,>,43.3
312,2018 HK Equity,>,42.75
313,1918 HK Equity,>,31.5
314,2328 HK Equity,>,6.54
315,1113 HK Equity,>,47.25
316,1378 HK Equity,>,11.06
317,688 HK Equity,>,19.42
318,1109 HK Equity,>,37.35
319,1919 HK Equity,>,7.85
320,6186 HK Equity,>,20.3
321,522 HK Equity,>,97.6
322,6185 HK Equity,>,330.0
323,708 HK Equity,>,53.1
324,2 HK Equity,>,74.75
325,6060 HK Equity,>,49.6
326,9666 HK Equity,>,67.95
327,268 HK Equity,>,25.9
328,3908 HK Equity,>,16.88
329,1516 HK Equity,>,21.75
330,9922 HK Equity,>,29.6
331,853 HK Equity,>,42.65
332,16 HK Equity,>,119.7
333,1951 HK Equity,>,15.82
334,000858 CS Equity,>,270.01
335,002594 CS Equity,>,199.07
336,300750 CS Equity,>,330.5
337,300059 CS Equity,>,30.02
338,000725 CS Equity,>,6.35
339,000568 CS Equity,>,199.3
340,000100 CS Equity,>,9.14
341,300274 CS Equity,>,73.47
342,002460 CS Equity,>,100.11
343,300015 CS Equity,>,63.62
344,000333 CS Equity,>,87.65
345,002475 CS Equity,>,46.59
346,002466 CS Equity,>,41.01
347,300014 CS Equity,>,81.64
348,000002 CS Equity,>,32.09
349,300760 CS Equity,>,390.93
350,300122 CS Equity,>,176.8
351,000977 CS Equity,>,32.5
352,000001 CS Equity,>,22.51
353,002352 CS Equity,>,97.96
354,300999 CS Equity,>,81.35
355,300896 CS Equity,>,733.59
356,002241 CS Equity,>,32.17
357,000799 CS Equity,>,136.88
358,300677 CS Equity,>,225.8
359,000651 CS Equity,>,59.13
360,002415 CS Equity,>,58.2
361,000831 CS Equity,>,22.06
362,002555 CS Equity,>,31.49
363,002714 CS Equity,>,110.7
364,003035 CS Equity,>,8.18
365,000963 CS Equity,>,37.85
366,002812 CS Equity,>,116.25
367,002230 CS Equity,>,48.26
368,002271 CS Equity,>,48.23
369,000661 CS Equity,>,424.6
370,002027 CS Equity,>,10.72
371,300782 CS Equity,>,618.0
372,300347 CS Equity,>,140.87
373,002142 CS Equity,>,39.8
374,002304 CS Equity,>,182.0
375,000063 CS Equity,>,31.74
376,300146 CS Equity,>,28.18
377,300124 CS Equity,>,87.4
378,000157 CS Equity,>,13.82
379,002709 CS Equity,>,92.05
380,000338 CS Equity,>,20.83
381,300118 CS Equity,>,15.96
382,300450 CS Equity,>,72.63
383,002371 CS Equity,>,161.61
384,002601 CS Equity,>,36.88
385,300033 CS Equity,>,126.24
386,002493 CS Equity,>,30.35
387,000625 CS Equity,>,16.93
388,002410 CS Equity,>,65.86
389,000768 CS Equity,>,35.5
390,300142 CS Equity,>,43.75
391,300595 CS Equity,>,84.96
392,000807 CS Equity,>,10.16
393,000538 CS Equity,>,127.87
394,002624 CS Equity,>,25.3
395,300601 CS Equity,>,145.25
396,002612 CS Equity,>,32.67
397,002378 CS Equity,>,9.35
398,000630 CS Equity,>,3.05
399,300433 CS Equity,>,30.63
400,300144 CS Equity,>,21.11
401,300253 CS Equity,>,19.09
402,002008 CS Equity,>,43.16
403,002821 CS Equity,>,259.96
404,300408 CS Equity,>,38.69
405,002129 CS Equity,>,27.03
406,002092 CS Equity,>,10.11
407,000877 CS Equity,>,18.35
408,300759 CS Equity,>,118.04
409,300496 CS Equity,>,120.48
410,000066 CS Equity,>,16.27
411,300136 CS Equity,>,32.55
412,002156 CS Equity,>,24.75
413,002044 CS Equity,>,17.53
414,002497 CS Equity,>,19.13
415,000021 CS Equity,>,21.92
416,002049 CS Equity,>,113.99
417,002407 CS Equity,>,23.05
