,Bloomberg Code,symbol,level
181,9434 JT Equity,<,1407.0
182,6178 JT Equity,<,963.0
183,7238 JT Equity,<,180.0
184,8002 JT Equity,<,850.9
185,7202 JT Equity,<,1084.0
186,9424 JT Equity,<,238.0
187,6723 JT Equity,<,1127.0
188,4188 JT Equity,<,809.0
189,7167 JT Equity,<,253.0
190,6803 JT Equity,<,147.0
191,3436 JT Equity,<,2298.0
192,5401 JT Equity,<,1751.0
193,4502 JT Equity,<,3917.0
194,8031 JT Equity,<,2280.0
195,9433 JT Equity,<,3372.0
196,2914 JT Equity,<,2003.5
197,3402 JT Equity,<,702.4
198,8591 JT Equity,<,1801.5
199,9432 JT Equity,<,2767.5
200,7004 JT Equity,<,817.0
201,8053 JT Equity,<,1581.0
202,7203 JT Equity,<,8060.0
203,8058 JT Equity,<,3095.0
204,3996 JT Equity,<,945.0
205,4503 JT Equity,<,1821.0
206,6472 JT Equity,<,328.0
207,2413 JT Equity,<,7293.0
208,7752 JT Equity,<,1121.0
209,7267 JT Equity,<,3129.0
210,8593 JT Equity,<,640.0
211,6503 JT Equity,<,1643.0
212,4755 JT Equity,<,1114.0
213,3923 JT Equity,<,1821.0
214,5411 JT Equity,<,1240.0
215,6758 JT Equity,<,10840.0
216,6770 JT Equity,<,1516.0
217,2929 JT Equity,<,2582.0
218,6098 JT Equity,<,4887.0
219,9101 JT Equity,<,3125.0
220,8001 JT Equity,<,3391.0
221,4568 JT Equity,<,3088.0
222,5406 JT Equity,<,728.0
223,9613 JT Equity,<,1718.0
224,3407 JT Equity,<,1151.0
225,3099 JT Equity,<,824.0
226,8601 JT Equity,<,547.4
227,9201 JT Equity,<,2473.0
228,8802 JT Equity,<,1859.5
229,3861 JT Equity,<,686.0
230,6301 JT Equity,<,3280.0
231,8358 JT Equity,<,384.0
232,3289 JT Equity,<,684.0
233,7733 JT Equity,<,2350.5
234,9107 JT Equity,<,1973.0
235,8585 JT Equity,<,153.0
236,9202 JT Equity,<,2560.0
237,7751 JT Equity,<,2346.0
238,1803 JT Equity,<,854.0
239,8801 JT Equity,<,2468.0
240,7731 JT Equity,<,913.0
241,9104 JT Equity,<,3345.0
242,8750 JT Equity,<,1883.5
243,9503 JT Equity,<,1168.0
244,7186 JT Equity,<,444.0
245,4536 JT Equity,<,1388.0
246,8331 JT Equity,<,724.0
247,7014 JT Equity,<,190.0
248,8303 JT Equity,<,1755.0
249,6326 JT Equity,<,2399.0
250,6584 JT Equity,<,1035.0
251,1802 JT Equity,<,975.0
252,2503 JT Equity,<,2106.0
253,7270 JT Equity,<,2129.5
254,4543 JT Equity,<,4027.0
255,3800 HK Equity,<,2.19
256,1810 HK Equity,<,21.6
257,939 HK Equity,<,6.41
258,728 HK Equity,<,2.61
259,1141 HK Equity,<,0.106
260,493 HK Equity,<,1.52
261,1093 HK Equity,<,8.28
262,1250 HK Equity,<,0.077
263,1398 HK Equity,<,5.41
264,2600 HK Equity,<,3.63
265,1378 HK Equity,<,10.0
266,857 HK Equity,<,2.98
267,981 HK Equity,<,24.7
268,386 HK Equity,<,4.3
269,1288 HK Equity,<,3.06
270,460 HK Equity,<,2.05
271,8083 HK Equity,<,2.58
272,419 HK Equity,<,0.46
273,451 HK Equity,<,0.246
274,6878 HK Equity,<,1.09
275,883 HK Equity,<,9.05
276,2899 HK Equity,<,10.3
277,968 HK Equity,<,12.78
278,992 HK Equity,<,9.71
279,1658 HK Equity,<,5.95
280,1177 HK Equity,<,8.16
281,1357 HK Equity,<,2.59
282,2013 HK Equity,<,17.5
283,916 HK Equity,<,8.18
284,3993 HK Equity,<,5.0
285,998 HK Equity,<,3.71
286,1919 HK Equity,<,7.26
287,1610 HK Equity,<,4.18
288,1339 HK Equity,<,2.46
289,1765 HK Equity,<,2.49
290,136 HK Equity,<,8.92
291,175 HK Equity,<,22.4
292,3323 HK Equity,<,10.42
293,1208 HK Equity,<,4.38
294,288 HK Equity,<,7.12
295,241 HK Equity,<,22.3
296,598 HK Equity,<,2.93
297,2399 HK Equity,<,4.24
298,6601 HK Equity,<,7.73
299,1117 HK Equity,<,2.14
300,1798 HK Equity,<,1.37
301,6186 HK Equity,<,19.14
302,1060 HK Equity,<,0.95
303,1766 HK Equity,<,3.44
304,347 HK Equity,<,3.91
305,2357 HK Equity,<,4.7
306,2628 HK Equity,<,16.3
307,3690 HK Equity,<,314.6
308,358 HK Equity,<,16.14
309,1055 HK Equity,<,5.15
310,135 HK Equity,<,7.66
311,293 HK Equity,<,6.98
312,2238 HK Equity,<,7.07
313,2269 HK Equity,<,85.65
314,1337 HK Equity,<,2.2
315,6110 HK Equity,<,11.14
316,3328 HK Equity,<,4.52
317,9988 HK Equity,<,222.8
318,2333 HK Equity,<,21.25
319,3813 HK Equity,<,1.62
320,1618 HK Equity,<,1.8
321,257 HK Equity,<,4.61
322,2186 HK Equity,<,4.96
323,2866 HK Equity,<,1.18
324,2233 HK Equity,<,1.23
325,1066 HK Equity,<,12.58
326,1053 HK Equity,<,1.25
327,267 HK Equity,<,6.67
328,2318 HK Equity,<,97.55
329,1888 HK Equity,<,14.38
330,688 HK Equity,<,18.76
331,1812 HK Equity,<,6.14
332,1347 HK Equity,<,40.6
333,6818 HK Equity,<,3.38
334,2343 HK Equity,<,2.04
335,1313 HK Equity,<,9.05
336,6808 HK Equity,<,6.73
337,700 HK Equity,<,643.5
338,3983 HK Equity,<,1.87
339,000725 CS Equity,<,5.82
340,000630 CS Equity,<,2.84
341,002340 CS Equity,<,7.97
342,000100 CS Equity,<,8.59
343,000825 CS Equity,<,4.33
344,000027 CS Equity,<,7.5
345,000932 CS Equity,<,6.49
346,003035 CS Equity,<,7.07
347,002602 CS Equity,<,7.01
348,300059 CS Equity,<,27.78
349,000767 CS Equity,<,3.4
350,000807 CS Equity,<,9.46
351,000683 CS Equity,<,2.53
352,000709 CS Equity,<,2.29
353,002241 CS Equity,<,28.24
354,000591 CS Equity,<,6.5
355,000157 CS Equity,<,12.15
356,002610 CS Equity,<,2.44
357,000778 CS Equity,<,3.87
358,000629 CS Equity,<,2.2
359,000903 CS Equity,<,3.56
360,000928 CS Equity,<,5.45
361,002002 CS Equity,<,3.35
362,003816 CS Equity,<,2.76
363,000758 CS Equity,<,5.15
364,002408 CS Equity,<,9.19
365,002249 CS Equity,<,4.85
366,300185 CS Equity,<,3.42
367,000425 CS Equity,<,6.59
368,000001 CS Equity,<,20.92
369,002145 CS Equity,<,9.18
370,000060 CS Equity,<,4.47
371,002378 CS Equity,<,8.02
372,002131 CS Equity,<,3.03
373,002092 CS Equity,<,9.82
374,000831 CS Equity,<,20.3
375,002130 CS Equity,<,6.02
376,002400 CS Equity,<,4.83
377,000717 CS Equity,<,4.56
378,001896 CS Equity,<,6.57
379,000612 CS Equity,<,7.7
380,300118 CS Equity,<,14.82
381,000898 CS Equity,<,3.62
382,000877 CS Equity,<,15.3
383,002466 CS Equity,<,39.07
384,000488 CS Equity,<,9.3
385,000963 CS Equity,<,33.81
386,002600 CS Equity,<,9.74
387,000723 CS Equity,<,6.97
388,000069 CS Equity,<,8.1
389,000625 CS Equity,<,15.32
390,000933 CS Equity,<,8.74
391,002280 CS Equity,<,2.42
392,000875 CS Equity,<,4.45
393,002640 CS Equity,<,4.45
394,002218 CS Equity,<,4.58
395,000002 CS Equity,<,30.72
396,000592 CS Equity,<,2.59
397,000960 CS Equity,<,13.46
398,300274 CS Equity,<,68.83
399,300376 CS Equity,<,6.16
400,002010 CS Equity,<,6.26
401,000718 CS Equity,<,4.13
402,300315 CS Equity,<,5.44
403,002195 CS Equity,<,1.97
404,002127 CS Equity,<,9.19
405,000878 CS Equity,<,14.33
406,000975 CS Equity,<,8.68
407,002385 CS Equity,<,8.8
408,000155 CS Equity,<,11.13
409,002797 CS Equity,<,7.8
