date,close
2009-11-26,8.8
2009-11-27,8.64
2009-11-30,8.77
2009-12-01,8.73
2009-12-02,8.77
2009-12-03,8.78
2009-12-04,9.05
2009-12-07,9.13
2009-12-08,9.06
2009-12-09,9.01
2009-12-10,8.94
2009-12-11,8.92
2009-12-14,8.99
2009-12-15,8.89
2009-12-16,8.84
2009-12-17,8.74
2009-12-18,8.54
2009-12-21,8.4
2009-12-22,8.43
2009-12-23,8.41
2009-12-24,8.45
2009-12-28,8.33
2009-12-29,8.33
2009-12-30,8.55
2009-12-31,8.72
2010-01-04,8.87
2010-01-05,8.85
2010-01-06,8.75
2010-01-07,8.68
2010-01-08,8.69
2010-01-11,8.74
2010-01-12,8.68
2010-01-13,8.37
2010-01-14,8.43
2010-01-15,8.34
2010-01-18,8.29
2010-01-19,8.42
2010-01-20,8.33
2010-01-21,8.22
2010-01-22,8.16
2010-01-25,8.11
2010-01-26,7.9
2010-01-27,7.85
2010-01-28,7.88
2010-01-29,7.75
2010-02-01,7.7
2010-02-02,7.87
2010-02-03,7.95
2010-02-04,7.89
2010-02-05,7.78
2010-02-08,7.71
2010-02-09,7.69
2010-02-10,7.61
2010-02-11,7.61
2010-02-12,7.64
2010-02-22,7.66
2010-02-23,7.8
2010-02-24,7.88
2010-02-25,7.98
2010-02-26,8.09
2010-03-01,8.2
2010-03-02,8.27
2010-03-03,8.22
2010-03-04,8.32
2010-03-05,8.01
2010-03-08,8.04
2010-03-09,8.05
2010-03-10,7.99
2010-03-11,7.91
2010-03-12,7.89
2010-03-15,7.8
2010-03-16,7.88
2010-03-17,8.03
2010-03-18,7.99
2010-03-19,8.24
2010-03-22,8.06
2010-03-23,7.95
2010-03-24,7.88
2010-03-25,7.81
2010-03-26,7.99
2010-03-29,7.97
2010-03-30,8.05
2010-03-31,8.01
2010-04-01,8.2
2010-04-07,8.4
2010-04-08,8.44
2010-04-09,8.42
2010-04-12,8.28
2010-04-13,8.24
2010-04-14,8.29
2010-04-15,8.31
2010-04-16,8.1
2010-04-19,7.84
2010-04-20,8.04
2010-04-21,8.16
2010-04-22,8.28
2010-04-23,8.23
2010-04-26,8.32
2010-04-27,8.31
2010-04-28,8.13
2010-04-29,8.14
2010-04-30,8.42
2010-05-04,8.13
2010-05-05,8
2010-05-06,7.82
2010-05-07,7.74
2010-05-10,7.99
2010-05-11,7.91
2010-05-12,7.8
2010-05-13,7.93
2010-05-14,7.72
2010-05-17,7.51
2010-05-18,7.77
2010-05-19,7.52
2010-05-20,7.42
2010-05-24,7.61
2010-05-25,7.27
2010-05-26,7.74
2010-05-27,7.77
2010-05-28,7.9
2010-05-31,7.83
2010-06-01,7.59
2010-06-02,7.52
2010-06-03,7.64
2010-06-04,7.69
2010-06-07,7.52
2010-06-08,7.45
2010-06-09,7.56
2010-06-10,7.56
2010-06-11,7.61
2010-06-17,7.88
2010-06-21,8.36
2010-06-22,8.43
2010-06-23,8.43
2010-06-24,8.33
2010-06-25,8.15
2010-06-28,8.3
2010-06-29,8.23
2010-06-30,8.25
2010-07-02,8.25
2010-07-05,8.27
2010-07-06,8.4
2010-07-07,8.37
2010-07-08,8.51
2010-07-09,8.69
2010-07-12,8.66
2010-07-13,8.58
2010-07-14,8.61
2010-07-15,8.46
2010-07-16,8.54
2010-07-19,8.54
2010-07-20,8.64
2010-07-21,8.64
2010-07-22,8.73
2010-07-23,8.79
2010-07-26,8.7
2010-07-27,8.73
2010-07-28,8.82
2010-07-29,8.75
2010-07-30,8.76
2010-08-02,8.89
2010-08-03,9
2010-08-04,8.94
2010-08-05,9.03
2010-08-06,9.07
2010-08-09,9.17
2010-08-10,9.06
2010-08-11,8.89
2010-08-12,8.9
2010-08-13,8.85
2010-08-16,8.89
2010-08-17,8.87
2010-08-18,8.71
2010-08-19,8.81
2010-08-20,8.88
2010-08-23,8.73
2010-08-24,8.65
2010-08-25,8.52
2010-08-26,8.58
2010-08-27,8.46
2010-08-30,8.57
2010-08-31,8.54
2010-09-01,8.55
2010-09-02,8.69
2010-09-03,8.64
2010-09-06,8.64
2010-09-07,8.6
2010-09-08,8.46
2010-09-09,8.46
2010-09-10,8.35
2010-09-13,8.49
2010-09-14,8.54
2010-09-15,8.6
2010-09-16,8.47
2010-09-17,8.4
2010-09-20,8.34
2010-09-21,8.34
2010-09-27,8.45
2010-09-28,8.34
2010-09-29,8.47
2010-09-30,8.4
2010-10-08,8.58
2010-10-11,8.49
2010-10-12,8.6
2010-10-13,8.61
2010-10-14,8.82
2010-10-15,8.79
2010-10-18,8.78
2010-10-19,8.7
2010-10-20,8.73
2010-10-21,8.79
2010-10-22,8.72
2010-10-25,8.65
2010-10-26,8.76
2010-10-27,8.61
2010-10-28,8.7
2010-10-29,8.71
2010-11-01,8.69
2010-11-02,8.7
2010-11-03,8.87
2010-11-04,8.91
2010-11-05,8.93
2010-11-08,8.99
2010-11-09,8.93
2010-11-10,8.76
2010-11-11,8.89
2010-11-12,8.78
2010-11-15,8.77
2010-11-16,8.64
2010-11-17,8.43
2010-11-18,8.55
